rater,leaf,actual,UNexp,LINexp
2,39,67.24,75,75
2,40,9.67,45,19
2,41,7.08,15,5
2,42,3.84,10,5
2,43,9.56,25,18
2,44,61.34,75,70
2,45,85.5,89,92
2,46,39.09,40,34
2,47,42.38,45,45
2,48,15.65,25,17
2,49,51.85,50,55
2,50,60.9,51,70
3,1,70.48,30,65
3,2,96.07,35,80
3,3,99.96,40,97.3
3,4,72.45,20,80
3,5,97.39,25,76.5
3,6,88.68,35,97.3
3,7,91.03,40,97.3
3,8,19.79,40,25
3,9,25.16,40,24.7
3,10,90.59,42,80
3,11,9.1,10,9.6
3,12,36.99,15,15.7
3,13,10.93,40,9.6
3,14,99.64,20,97.3
3,15,26.73,35,32.2
3,16,87.96,15,76.5
3,17,6.05,56,9.6
3,18,87.32,20,76.5
3,19,12.18,55,24.7
3,20,96.43,50,97.3
3,21,9.62,15,15.7
3,22,10.41,10,15.2
3,23,5.39,10,9.6
3,24,5.62,15,9.6
3,25,12.37,10,15.7
3,26,4.42,15,9.6
3,27,29.76,45,44.6
3,28,29.76,20,32.2
3,29,10.76,10,9.6
3,30,69.39,45,44.6
3,31,10.4,15,15.7
3,32,91.06,35,85.7
3,33,4.97,15,9.6
3,34,99.67,75,97.3
3,35,87.17,70,75.5
3,36,20.26,25,9.6
3,37,5.35,15,0.5
3,38,50.87,60,44.6
3,39,67.24,75,61.1
3,40,9.67,20,9.6
3,41,7.08,20,9.6
3,42,3.84,15,0.5
3,43,9.56,20,9.6
3,44,61.34,60,65
3,45,85.5,70,75
3,46,39.09,60,32.2
3,47,42.38,45,44.6
3,48,15.65,15,24.7
3,49,51.85,35,45
3,50,60.9,60,60
4,1,70.48,74,76.5
4,2,96.07,80,97.3
4,3,99.96,95,97.3
4,4,72.45,65,68.5
4,5,97.39,78,85.7
4,6,88.68,76,97.3
4,7,91.03,82,97.3
4,8,19.79,48,25
4,9,25.16,54,30
4,10,90.59,78,80
4,11,9.1,15,9.6
4,12,36.99,20,15.7
4,13,10.93,14,9.6
4,14,99.64,94,97.3
4,15,26.73,55,44.6
4,16,87.96,68,70
4,17,6.05,17,9.6
4,18,87.32,82,78.5
4,19,12.18,22,20
4,20,96.43,75,88.5
4,21,9.62,30,24.7
4,22,10.41,18,15.7
4,23,5.39,14,9.6
4,24,5.62,16,9.6
4,25,12.37,18,15.5
4,26,4.42,20,9.6
4,27,29.76,35,32.2
4,28,29.76,38,32.2
